Gene,Score
A1BG,-0.907710022
A1CF,-0.61470918
A2M,-0.612967961
A2ML1,-0.909697642
A4GALT,-0.281877817
A4GNT,-0.504585355
AAAS,-0.501171715
AACS,-0.320602403
AADAC,-0.819388355
AADACL2,-0.549848395
AADACL3,-0.790521868
AADACL4,-0.420515616
AADAT,-1.090894134
AAED1,-0.783392844
AAGAB,-0.669472472
AAK1,-0.067942852
AAMDC,-0.297541346
AAMP,-0.494335478
AANAT,-1.317191481
AAR2,-0.430058598
AARD,-0.654847533
AARS,-0.516701906
AARS2,-1.516130307
AARSD1,-0.439902999
AASDH,-1.134964947
AASDHPPT,-1.035050942
AASS,-0.628835374
AATF,-0.36037331
AATK,-0.224314547
ABAT,-0.067048908
ABCA1,-0.958583338
ABCA10,-0.356557308
ABCA12,-0.254450061
ABCA13,-0.774055857
ABCA2,-1.611133663
ABCA3,-1.280166215
ABCA4,-0.549546713
ABCA5,-0.799416462
ABCA6,-1.499953706
ABCA7,-0.969995814
ABCA8,-0.549351891
ABCA9,-0.572186744
ABCB1,-1.700724742
ABCB10,-0.479814616
ABCB11,-1.852954665
ABCB4,-1.029764996
ABCB5,-0.59910394
ABCB6,-1.521590216
ABCB7,-1.524135471
ABCB8,-0.393198246
ABCB9,-0.755715135
ABCC1,-1.271400813
ABCC10,-2.008241877
ABCC11,-0.3251188
ABCC12,-1.100571167
ABCC2,-0.839026498
ABCC3,-0.518007213
ABCC4,-0.479583788
ABCC5,-0.246965305
ABCC6,-2.490369885
ABCC8,-1.564916083
ABCC9,-0.443336406
ABCD1,-0.523280758
ABCD2,-1.023297507
ABCD3,-0.477819407
ABCD4,-1.887002466
ABCE1,-0.411211926
ABCF1,-0.644085897
ABCF2,-0.288600135
ABCF3,-1.248010272
ABCG1,-0.801651785
ABCG2,-1.044647577
ABCG4,-1.502124565
ABCG5,-0.140835176
ABCG8,-2.106936572
ABHD1,-0.556082452
ABHD10,-0.556163146
ABHD11,-0.099559235
ABHD12,-1.46846437
ABHD12B,-1.270248841
ABHD13,-1.941484791
ABHD14A,-0.478504112
ABHD14B,-0.348690894
ABHD15,-1.224367295
ABHD16A,-1.545144702
ABHD16B,-0.79413146
ABHD17A,-0.635039227
ABHD17B,-1.352782281
ABHD17C,-0.786480853
ABHD2,-1.099191747
ABHD3,-0.859107771
ABHD4,-0.665626967
ABHD5,-0.702653727
ABHD6,-0.111189393
ABHD8,-0.441940284
ABI1,-0.317156841
ABI2,-0.903912703
ABI3,-0.640339095
ABI3BP,-1.08753975
ABL1,-1.377785212
ABL2,-0.663623074
ABLIM1,-0.090508299
ABLIM2,-0.330287119
ABLIM3,-0.234848982
ABO,-0.599159164
ABR,-1.037184256
ABRA,-0.909825102
ABRACL,-0.792983836
ABT1,-0.150876246
ABTB1,-1.266080974
ABTB2,-0.097280505
ACAA1,-1.639689118
ACAA2,-2.82573365
ACACA,-1.186981579
ACACB,-1.022411764
ACAD10,-0.146583055
ACAD11,-0.620391949
ACAD8,-0.69597779
ACAD9,-0.529242218
ACADL,-0.170087803
ACADM,-0.566427892
ACADS,-0.568402649
ACADSB,-0.447200142
ACADVL,-3.744887858
ACAN,-0.267317398
ACAP1,-0.887003087
ACAP2,-2.087755734
ACAP3,-1.14986435
ACAT1,-0.023074937
ACAT2,-0.958795912
ACBD3,-0.730092192
ACBD4,-0.979553537
ACBD5,-0.34215552
ACBD6,-1.927718705
ACBD7,-1.71999722
ACCS,-0.703568156
ACCSL,-1.256503442
ACD,-0.35390148
ACE,-0.131204028
ACE2,-0.570679886
ACER1,-0.453049792
ACER2,-1.317937128
ACER3,-1.041734663
ACHE,-0.232650783
ACIN1,-0.218090152
ACKR1,-0.593210723
ACKR2,-0.914459366
ACKR3,-2.08986658
ACKR4,-0.707768404
ACLY,-0.905378387
ACMSD,-0.449301896
ACO1,-0.607906
ACO2,-0.385634606
ACOT1,-0.546652702
ACOT11,-0.756032935
ACOT12,-0.677817318
ACOT13,-0.598990472
ACOT2,-0.209630395
ACOT4,-0.138654541
ACOT6,-0.857381776
ACOT7,-0.897007734
ACOT8,-0.645103279
ACOT9,-0.737118767
ACOX1,-1.296845021
ACOX2,-0.498985441
ACOX3,-1.421985968
ACOXL,-0.214548597
ACP1,-0.454772082
ACP2,-2.368021233
ACP5,-1.51970164
ACP6,-1.439475722
ACPP,-0.465218287
ACPT,-0.168153902
ACR,-0.685956611
ACRBP,-0.547315573
ACRC,-0.453424937
ACRV1,-0.454435267
ACSBG1,-1.242129069
ACSBG2,-1.978016347
ACSF2,-0.466619214
ACSF3,-0.345064193
ACSL1,-0.542184475
ACSL3,-0.329497823
ACSL4,-0.569112646
ACSL5,-0.605040253
ACSL6,-0.59570908
ACSM1,-2.14254865
ACSM2A,-0.27382421
ACSM2B,-0.247118404
ACSM3,-1.666970793
ACSM4,-0.356705599
ACSM5,-0.179174749
