Gene,Score
SPNS1,464.0
EPT1,445.0
ATG9A,399.0
EIF2AK3,355.0
RAB7A,352.0
CHD8,329.0
LDLR,293.0
AP3B1,288.0
KMT2A,256.0
HGS,253.0
VPS29,240.0
NPC1,228.0
RB1CC1,224.0
AP3D1,221.0
C12ORF44,216.0
SCFD1,208.0
TKT,204.0
EI24,194.0
RPE,194.0
RAB14,190.0
DDX39B,189.0
ARF1,189.0
KIAA0196,182.0
TMEM41B,172.0
ETS1,170.0
PRKCSH,170.0
CELF1,167.0
BCL2L1,161.0
CHMP4B,156.0
SPCS1,154.0
ATG3,154.0
MEN1,154.0
HSPA8,153.0
ATG13,148.0
KIAA1033,143.0
ATP6V1D,141.0
USP32,141.0
ATP6AP1,135.0
TIAL1,125.0
ATP6V0B,121.0
COMMD2,117.0
ATG7,117.0
HNRNPF,112.0
ATP6V0D1,111.0
CANX,110.0
RPL28,106.0
SYS1,106.0
WDR81,96.0
ATIC,95.6
BRD9,95.2
RAB1A,95.1
ATP6V1A,94.7
ATP6V1F,94.1
SLC35A1,91.6
RCOR1,89.9
GALNT11,89.3
ATP6V0C,83.1
SUPT20H,81.0
HSPA14,78.6
CFLAR,77.2
ATG12,76.3
DOT1L,75.5
RABGEF1,75.3
FAM21A,74.8
PCGF1,74.0
TBC1D5,73.8
SNAP23,72.7
NSF,69.2
ATG10,67.3
COMMD3-BMI1,66.4
MLST8,64.6
AHCYL1,63.0
BIRC5,60.7
ATP5F1,59.4
RPS3A,58.0
ATP6V1C1,56.4
CCDC115,55.8
USP5,55.5
CLTC,55.0
ATP6V1G1,54.4
RPS4X,54.1
HNRNPAB,53.0
ATP6V1H,52.8
HSPA5,52.7
RPS6,52.6
PTEN,52.4
MTOR,51.3
MYC,51.3
PKM,50.9
EIF4G1,49.8
C1GALT1,49.5
HNRNPH1,49.4
AMBRA1,49.0
BNIP1,48.9
KAT5,48.2
ATG5,46.7
EIF2S1,45.7
SP2,44.7
UBE2G2,43.9
VDAC1,42.4
AP1G1,42.1
COA7,42.0
FAM3A,41.2
RPTOR,40.8
SLC35B2,39.8
GAPDH,39.8
UBE2D3,38.4
MBTPS2,37.2
COPS3,36.2
ATG4B,35.8
NAPG,35.0
ATP6V1B2,34.6
COMMD3,34.4
VTI1A,33.9
DDX24,33.7
MAPK1,33.5
EEF2,33.4
IARS,33.1
USF2,32.2
ZFYVE21,32.2
GOLGA7,31.6
TMEM87A,31.6
PSMA1,30.9
DYNLL1,30.4
SMCR8,29.7
TRAF6,29.2
PSMA1,29.1
VPS35,28.4
WDR24,28.4
NAPA,28.3
CDC37,28.3
TMEM127,28.2
TBC1D15,27.9
SMARCC1,27.7
GNL3L,26.8
POP4,26.7
GNB2L1,26.3
HK2,26.1
C1ORF131,26.0
NUTF2,25.9
BECN1,25.7
ATF4,25.7
SAR1A,25.7
